case_id,utt_n,speaker_n,justice_utt_n,nonjustice_utt_n,tok_n,tok_med,q_rate,empty_n,pet_utt_n,resp_utt_n,winning_side,side_total,pet_share,resp_share
04-373 ,585,11,0,585,10887,5.0,0.13675213675213677,0,0,0, RESPONDENT,0,,
04-9728 ,502,11,0,502,10545,6.0,0.1593625498007968,0,0,0, RESPONDENT,0,,
03-1164 ,463,10,0,463,10622,7.0,0.11879049676025918,0,0,0, PETITIONER,0,,
04-721 ,440,10,0,440,10629,7.0,0.19090909090909092,0,0,0, PETITIONER,0,,
05-204 ,421,12,0,421,21246,29.0,0.23515439429928742,0,0,0, PETITIONER,0,,
04-848 ,408,10,0,408,9781,6.5,0.14215686274509803,0,0,0, PETITIONER,0,,
04-905 ,399,10,0,399,10288,8.0,0.15789473684210525,0,0,0, PETITIONER,0,,
04-1152 ,397,10,0,397,10537,8.0,0.13602015113350127,0,0,0, PETITIONER,0,,
04-631 ,393,11,0,393,10784,9.0,0.19592875318066158,0,0,0, PETITIONER,0,,
05-547 ,393,11,0,393,9981,6.0,0.15776081424936386,0,0,0, PETITIONER,0,,
05-608 ,390,12,0,390,10337,11.5,0.21025641025641026,0,0,0, PETITIONER,0,,
04-928 ,377,11,0,377,10178,10.0,0.14323607427055704,0,0,0, PETITIONER,0,,
04-10566 ,375,13,0,375,14888,22.0,0.2853333333333333,0,0,0, RESPONDENT,0,,
05-184 ,374,9,0,374,15613,14.0,0.19518716577540107,0,0,0, PETITIONER,0,,
03-1116 ,370,11,0,370,10623,14.0,0.1837837837837838,0,0,0, RESPONDENT,0,,
04-1495 ,368,9,0,368,10926,15.0,0.17391304347826086,0,0,0, PETITIONER,0,,
04-698 ,363,10,0,363,10488,11.0,0.19559228650137742,0,0,0, RESPONDENT,0,,
04-1084 ,362,10,0,362,9724,9.0,0.1685082872928177,0,0,0, RESPONDENT,0,,
04-1360 ,362,11,0,362,11338,12.0,0.17679558011049723,0,0,0, RESPONDENT,0,,
04-1360b ,355,11,0,355,11670,19.0,0.24507042253521127,0,0,0,,0,,
04-1527 ,342,11,0,342,10808,13.0,0.19298245614035087,0,0,0, RESPONDENT,0,,
04-623 ,339,10,0,339,10628,17.0,0.19469026548672566,0,0,0, RESPONDENT,0,,
04-1034 ,339,11,0,339,14122,23.0,0.22713864306784662,0,0,0, PETITIONER,0,,
04-473b ,337,11,0,337,10686,10.0,0.14836795252225518,0,0,0,,0,,
04-473 ,337,11,0,337,10699,10.0,0.1513353115727003,0,0,0, PETITIONER,0,,
04-1067 ,334,12,0,334,10559,9.0,0.18562874251497005,0,0,0, RESPONDENT,0,,
04-495 ,327,11,0,327,10806,17.0,0.2691131498470948,0,0,0, PETITIONER,0,,
03-10198 ,325,11,0,325,11198,17.0,0.24615384615384617,0,0,0, PETITIONER,0,,
04-70 ,323,11,0,323,15560,16.0,0.15789473684210525,0,0,0, RESPONDENT,0,,
03-184 ,323,9,0,323,11384,22.0,0.22910216718266255,0,0,0, PETITIONER,0,,
06-219 ,321,10,0,321,10533,22.0,0.205607476635514,0,0,0, PETITIONER,0,,
04-597 ,320,12,0,320,10251,12.0,0.171875,0,0,0, PETITIONER,0,,
06-278 ,319,11,0,319,10454,22.0,0.3322884012539185,0,0,0, PETITIONER,0,,
03-1407 ,319,9,0,319,10387,18.0,0.23510971786833856,0,0,0, PETITIONER,0,,
05-669 ,316,9,0,316,10220,11.0,0.1550632911392405,0,0,0, RESPONDENT,0,,
05-1631 ,312,11,0,312,10294,22.0,0.30448717948717946,0,0,0, PETITIONER,0,,
03-892 ,311,10,0,311,10174,19.0,0.19614147909967847,0,0,0, PETITIONER,0,,
04-1376 ,309,10,0,309,9127,6.0,0.13268608414239483,0,0,0, RESPONDENT,0,,
04-885 ,309,10,0,309,9188,13.0,0.19741100323624594,0,0,0, RESPONDENT,0,,
03-8661 ,305,10,0,305,10334,18.0,0.25245901639344265,0,0,0, PETITIONER,0,,
05-5966 ,303,11,0,303,9590,11.0,0.19141914191419143,0,0,0, RESPONDENT,0,,
05-5705 ,303,11,0,303,11049,19.0,0.18151815181518152,0,0,0,,0,,
03-923 ,297,10,0,297,9433,18.0,0.21548821548821548,0,0,0, PETITIONER,0,,
04-1203 ,295,12,0,295,10743,11.0,0.2033898305084746,0,0,0, PETITIONER,0,,
04-1506 ,294,11,0,294,9867,21.0,0.24829931972789115,0,0,0, RESPONDENT,0,,
04-1244 ,292,11,0,292,10271,19.0,0.20205479452054795,0,0,0, PETITIONER,0,,
05-200 ,291,11,0,291,10428,24.0,0.22336769759450173,0,0,0, RESPONDENT,0,,
02-1472 ,291,9,0,291,10666,15.0,0.20962199312714777,0,0,0, PETITIONER,0,,
03-1238 ,291,10,0,291,10573,12.0,0.1958762886597938,0,0,0, RESPONDENT,0,,
04-1371 ,290,10,0,290,9855,8.0,0.15862068965517243,0,0,0, PETITIONER,0,,
04-6964 ,288,10,0,288,9376,19.0,0.2465277777777778,0,0,0, PETITIONER,0,,
04-1477 ,287,10,0,287,11167,19.0,0.2264808362369338,0,0,0, PETITIONER,0,,
04-1170b ,285,10,0,285,8957,9.0,0.12982456140350876,0,0,0,,0,,
03-814 ,283,10,0,283,10728,14.0,0.2226148409893993,0,0,0, PETITIONER,0,,
03-407 ,283,10,0,283,10338,22.0,0.26501766784452296,0,0,0, PETITIONER,0,,
05-502 ,275,11,0,275,9435,22.0,0.29454545454545455,0,0,0, PETITIONER,0,,
03-1230 ,273,12,0,273,10411,17.0,0.2271062271062271,0,0,0, RESPONDENT,0,,
04-5286 ,273,10,0,273,10858,19.0,0.15384615384615385,0,0,0, RESPONDENT,0,,
06-157 ,272,11,0,272,10759,23.0,0.26838235294117646,0,0,0, PETITIONER,0,,
04-5293 ,272,9,0,272,8835,17.0,0.3125,0,0,0, PETITIONER,0,,
04-1704 ,267,10,0,267,9298,15.0,0.13857677902621723,0,0,0, PETITIONER,0,,
128orig ,267,9,0,267,10661,15.0,0.23220973782771537,0,0,0,,0,,
04-1131 ,267,10,0,267,10862,21.0,0.23220973782771537,0,0,0, PETITIONER,0,,
05-1508 ,266,11,0,266,10019,23.0,0.2744360902255639,0,0,0, RESPONDENT,0,,
04-980 ,265,10,0,265,8959,13.0,0.1811320754716981,0,0,0, PETITIONER,0,,
03-1388 ,263,11,0,263,11094,26.0,0.22813688212927757,0,0,0, PETITIONER,0,,
05-8794 ,263,11,0,263,9788,24.0,0.28517110266159695,0,0,0, PETITIONER,0,,
04-5928 ,263,11,0,263,10226,20.0,0.2623574144486692,0,0,0, RESPONDENT,0,,
04-637 ,262,10,0,262,9813,21.0,0.2633587786259542,0,0,0, PETITIONER,0,,
03-750 ,262,9,0,262,10303,17.0,0.17938931297709923,0,0,0, PETITIONER,0,,
05-1126 ,260,11,0,260,9895,29.0,0.3076923076923077,0,0,0, PETITIONER,0,,
05-18 ,260,11,0,260,9412,18.0,0.25384615384615383,0,0,0, PETITIONER,0,,
06-5306 ,258,13,0,258,10353,26.0,0.29844961240310075,0,0,0, RESPONDENT,0,,
02-1672 ,258,11,0,258,9764,17.0,0.2441860465116279,0,0,0, PETITIONER,0,,
04-1324 ,257,11,0,257,10069,14.0,0.1828793774319066,0,0,0, RESPONDENT,0,,
05-1345 ,257,11,0,257,9760,17.0,0.22568093385214008,0,0,0, RESPONDENT,0,,
04-5462 ,254,10,0,254,11504,21.0,0.2440944881889764,0,0,0, PETITIONER,0,,
04-480 ,254,11,0,254,10098,17.0,0.20078740157480315,0,0,0, PETITIONER,0,,
04-1414 ,254,10,0,254,10819,26.0,0.20866141732283464,0,0,0, PETITIONER,0,,
05-1342 ,251,12,0,251,8982,23.0,0.3346613545816733,0,0,0, RESPONDENT,0,,
04-1739 ,251,10,0,251,9385,24.0,0.2589641434262948,0,0,0, PETITIONER,0,,
05-11304 ,251,11,0,251,10417,28.0,0.2788844621513944,0,0,0, PETITIONER,0,,
04-8990 ,250,10,0,250,10347,19.0,0.24,0,0,0, PETITIONER,0,,
04-514 ,250,10,0,250,10163,24.0,0.308,0,0,0, PETITIONER,0,,
04-759 ,249,10,0,249,9401,15.0,0.17670682730923695,0,0,0, PETITIONER,0,,
03-710 ,248,10,0,248,9360,22.5,0.29838709677419356,0,0,0, PETITIONER,0,,
05-996 ,248,11,0,248,10112,25.0,0.3870967741935484,0,0,0, RESPONDENT,0,,
04-712 ,246,9,0,246,8919,16.0,0.2073170731707317,0,0,0, PETITIONER,0,,
05-1429 ,246,12,0,246,10532,25.5,0.26422764227642276,0,0,0, PETITIONER,0,,
04-1528 ,246,11,0,246,9748,16.5,0.1991869918699187,0,0,0, PETITIONER,0,,
03-636 ,245,10,0,245,9421,25.0,0.3224489795918367,0,0,0, PETITIONER,0,,
05-6551 ,245,10,0,245,9827,27.0,0.23265306122448978,0,0,0, PETITIONER,0,,
05-416 ,245,11,0,245,9553,13.0,0.1510204081632653,0,0,0, PETITIONER,0,,
05-998 ,244,10,0,244,10146,26.0,0.2827868852459016,0,0,0, PETITIONER,0,,
03-409 ,244,11,0,244,9680,25.0,0.24180327868852458,0,0,0, PETITIONER,0,,
03-1454 ,244,9,0,244,10717,19.5,0.18032786885245902,0,0,0, PETITIONER,0,,
05-1589 ,243,12,0,243,9931,23.0,0.24691358024691357,0,0,0, PETITIONER,0,,
05-746 ,243,11,0,243,10188,26.0,0.20987654320987653,0,0,0, PETITIONER,0,,
03-9560 ,243,9,0,243,9727,20.0,0.2674897119341564,0,0,0, RESPONDENT,0,,
06-313 ,242,11,0,242,9979,25.0,0.33884297520661155,0,0,0, RESPONDENT,0,,
03-932 ,242,10,0,242,10809,22.0,0.23553719008264462,0,0,0, PETITIONER,0,,
04-1544 ,240,10,0,240,10291,26.0,0.19166666666666668,0,0,0, PETITIONER,0,,
03-9168 ,239,9,0,239,9689,26.0,0.2719665271966527,0,0,0, PETITIONER,0,,
05-259 ,239,11,0,239,10346,24.0,0.2301255230125523,0,0,0, RESPONDENT,0,,
05-85 ,239,11,0,239,9649,23.0,0.20920502092050208,0,0,0, PETITIONER,0,,
05-8820 ,238,12,0,238,9390,23.0,0.27310924369747897,0,0,0, RESPONDENT,0,,
04-278 ,238,11,0,238,9666,27.0,0.35714285714285715,0,0,0, PETITIONER,0,,
04-1327 ,238,12,0,238,10433,26.0,0.23529411764705882,0,0,0, PETITIONER,0,,
05-983 ,238,11,0,238,10633,27.5,0.31932773109243695,0,0,0, PETITIONER,0,,
03-633 ,238,10,0,238,9546,20.5,0.24789915966386555,0,0,0, RESPONDENT,0,,
04-805 ,237,10,0,237,10555,28.0,0.2742616033755274,0,0,0, PETITIONER,0,,
05-7058 ,236,12,0,236,10120,31.0,0.3347457627118644,0,0,0, PETITIONER,0,,
05-1056 ,236,10,0,236,9888,20.0,0.2584745762711864,0,0,0, PETITIONER,0,,
05-1120 ,236,10,0,236,10128,33.0,0.3050847457627119,0,0,0, PETITIONER,0,,
03-1488 ,235,10,0,235,9477,24.0,0.23404255319148937,0,0,0, PETITIONER,0,,
03-9627 ,235,9,0,235,10526,22.0,0.18723404255319148,0,0,0, RESPONDENT,0,,
05-352 ,235,9,0,235,10543,29.0,0.2,0,0,0, RESPONDENT,0,,
03-878 ,234,11,0,234,10167,24.0,0.20085470085470086,0,0,0, RESPONDENT,0,,
05-1575 ,232,11,0,232,10516,29.0,0.31896551724137934,0,0,0, PETITIONER,0,,
05-7053 ,230,10,0,230,9851,23.0,0.26521739130434785,0,0,0, RESPONDENT,0,,
03-388 ,230,10,0,230,9377,19.0,0.1782608695652174,0,0,0, PETITIONER,0,,
03-287 ,230,10,0,230,9373,22.0,0.26521739130434785,0,0,0, RESPONDENT,0,,
03-1423 ,229,10,0,229,10961,20.0,0.2183406113537118,0,0,0, PETITIONER,0,,
04-944 ,229,11,0,229,9315,18.0,0.22270742358078602,0,0,0, PETITIONER,0,,
05-5224 ,227,11,0,227,11235,26.0,0.23788546255506607,0,0,0, RESPONDENT,0,,
05-409 ,227,10,0,227,10323,29.0,0.19383259911894274,0,0,0, PETITIONER,0,,
03-1696 ,227,9,0,227,9010,22.0,0.23788546255506607,0,0,0, PETITIONER,0,,
03-725 ,225,9,0,225,9644,20.0,0.21777777777777776,0,0,0, RESPONDENT,0,,
05-915 ,223,11,0,223,9612,25.0,0.33183856502242154,0,0,0,,0,,
05-1074 ,222,12,0,222,10683,32.0,0.28378378378378377,0,0,0, RESPONDENT,0,,
06-484 ,221,13,0,221,9890,31.0,0.27149321266968324,0,0,0, PETITIONER,0,,
05-9264 ,221,10,0,221,9797,28.0,0.34841628959276016,0,0,0, RESPONDENT,0,,
05-908 ,221,11,0,221,9679,31.0,0.3257918552036199,0,0,0, PETITIONER,0,,
04-6432 ,220,11,0,220,10739,21.0,0.2318181818181818,0,0,0, RESPONDENT,0,,
05-785 ,220,10,0,220,8781,29.5,0.2909090909090909,0,0,0, PETITIONER,0,,
05-1157 ,220,10,0,220,10497,26.0,0.2772727272727273,0,0,0, PETITIONER,0,,
04-368 ,220,9,0,220,9800,19.0,0.2409090909090909,0,0,0, PETITIONER,0,,
05-5992 ,218,9,0,218,11345,32.5,0.24311926605504589,0,0,0, PETITIONER,0,,
04-1581 ,218,10,0,218,10228,23.0,0.22477064220183487,0,0,0, PETITIONER,0,,
03-1395 ,218,9,0,218,9879,20.5,0.24311926605504589,0,0,0, PETITIONER,0,,
03-9659 ,217,9,0,217,9517,19.0,0.29493087557603687,0,0,0, PETITIONER,0,,
05-848 ,217,10,0,217,10185,27.0,0.2903225806451613,0,0,0, PETITIONER,0,,
03-1237 ,217,11,0,217,9272,21.0,0.2534562211981567,0,0,0, PETITIONER,0,,
03-9877 ,217,11,0,217,10583,34.0,0.2534562211981567,0,0,0, PETITIONER,0,,
03-1601 ,217,10,0,217,9768,21.0,0.19815668202764977,0,0,0, PETITIONER,0,,
06-5247 ,216,12,0,216,9815,27.0,0.3055555555555556,0,0,0, RESPONDENT,0,,
03-931 ,215,10,0,215,9222,25.0,0.26046511627906976,0,0,0, PETITIONER,0,,
04-1186 ,214,11,0,214,9615,21.0,0.21495327102803738,0,0,0, PETITIONER,0,,
05-128 ,214,10,0,214,9830,22.5,0.2102803738317757,0,0,0, PETITIONER,0,,
05-493 ,213,10,0,213,8798,19.0,0.2347417840375587,0,0,0, PETITIONER,0,,
04-881 ,212,10,0,212,7259,8.0,0.09905660377358491,0,0,0, RESPONDENT,0,,
05-260 ,212,10,0,212,10038,28.5,0.2688679245283019,0,0,0, RESPONDENT,0,,
05-83 ,210,11,0,210,10670,29.0,0.2571428571428571,0,0,0, PETITIONER,0,,
04-1329 ,210,11,0,210,11267,26.5,0.16666666666666666,0,0,0, PETITIONER,0,,
05-1629 ,210,10,0,210,9934,25.0,0.3380952380952381,0,0,0, PETITIONER,0,,
04-593 ,210,10,0,210,9474,24.5,0.21428571428571427,0,0,0, PETITIONER,0,,
05-1240 ,209,11,0,209,9690,29.0,0.2583732057416268,0,0,0, RESPONDENT,0,,
